video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is plain,title is emotionally touching,title is exaggerated
7lGLhhoIsNc,i got beat up at the NYC Marathon 2022,2022-11-09 19:11:20+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=7lGLhhoIsNc,CaseyNeistat,3289791,117138,3955,PT11M22S,18.65937,1.0430615,16.755363,15.885648,16.87803,3.837065,26.941462,37.27144866385373,105.89677093710932,113.3377830886662,103.09465506084936,100.80833140432098,671.1788841242887,0.23492752015590668,0.25890421867370605,0.5061682462692261
YbE_FD8df80,"if you don’t live in NYC or youre watching this video anytime after Nov 6, 2022 please disregard",2022-11-05 18:47:13+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=YbE_FD8df80,CaseyNeistat,3896221,143896,1469,PT52S,30.171715,2.0816576,11.597091,4.9164147,32.498474,1.2655709,17.469076,86.53846153846155,97.39179119925213,101.9142802650908,95.19514615050748,96.865726829594,235.7020495691417,0.5403751134872437,0.02019606903195381,0.43942877650260925
bEriqRN7Xpg,about this hotel room..,2022-11-04 21:29:32+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=bEriqRN7Xpg,CaseyNeistat,1839378,82875,3550,PT6M36S,13.056207,0.4560077,13.071116,8.61382,14.546551,8.757934,41.498363,39.07766990291262,105.36085532969255,117.19894485950984,101.98827063106796,91.64352311513956,392.8092042054594,0.4050687849521637,0.2643928527832031,0.3305383622646332
LODwfHdZA_k,Halloween in New York City.,2022-11-01 19:16:46+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=LODwfHdZA_k,CaseyNeistat,1465367,84779,2838,PT3M52S,14.882766,0.26279873,17.074402,18.221563,15.69923,2.0040512,31.855192,52.47933884297521,77.5159680792298,84.6202538524449,75.51477107724976,69.18168964144284,371.7051149047889,0.40512344241142273,0.2889080047607422,0.3059685230255127
kvnn_EptPiQ,New York City NONSENSE,2022-10-27 15:52:23+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=kvnn_EptPiQ,CaseyNeistat,2352128,119461,3650,PT6M7S,11.495399,0.62329555,17.67648,22.528496,19.422665,0.2826614,27.971004,32.98429319371728,102.28817469731676,108.14924403041375,99.53389973958332,101.09161754881109,534.8407400346405,0.11390998214483261,0.003983447793871164,0.8821065425872803
2MQF00rTEJU,"Kanye, you broke my heart",2022-10-25 19:56:51+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=2MQF00rTEJU,CaseyNeistat,2842399,175964,9677,PT13M47S,9.006045,0.24652912,21.291203,14.868982,10.550239,2.5743873,41.462616,74.47795823665894,124.57716387519336,136.46893975875707,121.46377382621164,109.38590327122004,529.477220313045,0.04775936156511307,0.9070514440536499,0.04518924281001091
NK45KHO5ng0,Just Magical,2022-10-20 14:53:45+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=NK45KHO5ng0,CaseyNeistat,1880703,96553,3846,PT11M11S,19.61436,1.7818183,17.90873,17.290579,18.961008,2.0124884,22.431015,21.45922746781116,91.63915299386028,90.7623249669667,91.88555976543871,92.72071462456286,324.46356771391487,0.038193460553884506,0.4274114966392517,0.5343950390815735
6ksZoza2Fhc,NYC BIKE LANE BOUNTY,2022-10-18 19:50:05+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=6ksZoza2Fhc,CaseyNeistat,2065960,112434,5433,PT4M15S,15.018642,0.2810405,16.794283,19.466486,19.826666,1.4880933,27.124788,33.83458646616541,127.58448202211255,128.31888392857144,126.27671968005951,132.3546351392805,920.5350822762406,0.4549564719200134,0.19307971000671387,0.3519637882709503
fIdRWKel0xQ,The Problem with New York City..,2022-10-11 18:23:52+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=fIdRWKel0xQ,CaseyNeistat,3364337,145077,5364,PT7M14S,11.214998,0.03432033,12.111827,13.929391,17.521252,1.0719316,44.116283,34.65783664459161,100.8029309522167,106.17039163102464,98.67908360735528,97.66350583302672,583.5368285231555,0.6727794408798218,0.11488120257854462,0.21233931183815002
C3P-b5Szz44,The Secret Door,2022-10-05 21:34:32+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=C3P-b5Szz44,CaseyNeistat,2712233,123595,3958,PT7M18S,13.388053,0.14024784,18.935736,11.894591,15.340409,0.73688334,39.56408,28.00875273522976,91.13508199990883,99.17965164759605,88.65607878221492,82.7879365255744,451.5065505411296,0.08269891887903214,0.6061729192733765,0.3111281991004944
